CREST	THIGH	LEG	FOOT	TOE	LIMB	HIP	KNEE	ANKLE	MTP	AB/AD_PELVIS	ROT_PELVIS					PELVIS_R	PELVIS_R	PELVIS_R	PELVIS_L	PELVIS_L	PELVIS_L	
-25.76666667	8.783096667	-76.76666667	0.106666667	-12.01666667	-23.5	145.3333333	90	96.91666667	167.8333333	4.268333333	-182.445					-1.95E+01	-3.22E+01	-2.79E+01	-3.71E+01	-2.83E+01	-9.60E+00	-2.58E+01
-25.305	10.365	-77.76666667	8.143333333	-5.515	-20.38333333	144.1666667	87.55	88.61666667	166.1666667	4.433333333	-182.7983333					-1.90E+01	-3.21E+01	-2.75E+01	-3.66E+01	-2.77E+01	-8.93E+00	-2.53E+01
-24.76	12.23166667	-78.3	16.78166667	2.097833333	-16.66333333	142.8333333	85.3	80.2	165.3333333	4.601666667	-182.9183333					-1.85E+01	-3.18E+01	-2.70E+01	-3.60E+01	-2.70E+01	-8.26E+00	-2.48E+01
-24.19833333	14.43	-78.2	25.84666667	10.735	-12.345	141.5	83.43333333	72.08333333	164.8333333	4.721666667	-183.4366667					-1.79E+01	-3.15E+01	-2.65E+01	-3.54E+01	-2.63E+01	-7.59E+00	-2.42E+01
-23.54833333	16.99666667	-77.21666667	35.11166667	20.34666667	-7.318333333	139.5	82.05	64.65	165.1666667	4.826666667	-183.665					-1.73E+01	-3.11E+01	-2.58E+01	-3.46E+01	-2.56E+01	-6.89E+00	-2.35E+01
-22.84	20.00316667	-75.16666667	44.36666667	30.71666667	-1.588333333	137.1666667	81.31666667	58.38333333	166.5	4.901666667	-184.24					-1.67E+01	-3.06E+01	-2.51E+01	-3.37E+01	-2.48E+01	-6.14E+00	-2.28E+01
-22.025	23.35166667	-71.91666667	53.16666667	41.53333333	4.776666667	134.8333333	81.36666667	53.7	168.5	4.953333333	-184.6733333					-1.60E+01	-3.00E+01	-2.42E+01	-3.27E+01	-2.39E+01	-5.35E+00	-2.20E+01
-21.12	27.01	-67.36666667	61.11666667	52.28333333	11.52666667	131.8333333	82.43333333	50.96666667	171	4.978333333	-185.2716667					-1.53E+01	-2.93E+01	-2.31E+01	-3.16E+01	-2.29E+01	-4.52E+00	-2.11E+01
-20.11	30.83166667	-61.5	67.9	62.38333333	18.32833333	129	84.61666667	50.4	174.3333333	4.971666667	-185.9133333					-1.45E+01	-2.84E+01	-2.20E+01	-3.03E+01	-2.18E+01	-3.66E+00	-2.01E+01
-19.03333333	34.63333333	-54.41666667	73.08333333	71.13333333	24.69333333	126.5	87.9	52.01666667	178	4.963	-186.6816667					-1.37E+01	-2.74E+01	-2.08E+01	-2.89E+01	-2.06E+01	-2.80E+00	-1.90E+01
-17.94833333	38.21666667	-46.5	76.5	78.11666667	30.2	124	92.23333333	55.63333333	181.5	4.96725	-187.3283333					-1.30E+01	-2.63E+01	-1.95E+01	-2.75E+01	-1.94E+01	-1.99E+00	-1.79E+01
-16.82666667	41.35	-38.23333333	78.08333333	83.05	34.58333333	121.8333333	97.13333333	60.83333333	185	4.939	-187.9616667					-1.23E+01	-2.50E+01	-1.81E+01	-2.61E+01	-1.82E+01	-1.26E+00	-1.68E+01
-15.75933333	43.91666667	-30.26666667	78.05	85.96666667	37.65	120.3333333	102.2666667	67.01666667	187.8333333	4.921666667	-188.6233333					-1.16E+01	-2.37E+01	-1.68E+01	-2.48E+01	-1.70E+01	-6.56E-01	-1.58E+01
-14.76933333	45.76666667	-23.18333333	76.71666667	86.95	39.5	119.3333333	107.3	73.53333333	190.3333333	4.920166667	-188.98					-1.11E+01	-2.23E+01	-1.55E+01	-2.36E+01	-1.59E+01	-2.16E-01	-1.48E+01
-13.925	46.96666667	-17.445	74.41666667	86.33333333	40.31666667	119.1666667	111.6666667	79.88333333	191.8333333	4.9145	-189.365					-1.06E+01	-2.10E+01	-1.44E+01	-2.27E+01	-1.49E+01	5.00E-02	-1.39E+01
-13.19183333	47.48333333	-13.24666667	71.68333333	84.46666667	40.28333333	119.1666667	115.1666667	85.71666667	192.8333333	4.884891667	-189.7083333					-1.03E+01	-1.97E+01	-1.33E+01	-2.19E+01	-1.41E+01	1.49E-01	-1.32E+01
-12.649	47.4	-10.65333333	68.83333333	81.85	39.68333333	119.8333333	118	90.7	193	4.885666667	-189.97					-1.01E+01	-1.86E+01	-1.24E+01	-2.14E+01	-1.35E+01	1.06E-01	-1.26E+01
-12.19446667	46.85	-9.531166667	66.11666667	78.91666667	38.7	120.8333333	120.3333333	94.7	192.8333333	4.897333333	-189.7633333					-9.93E+00	-1.76E+01	-1.15E+01	-2.11E+01	-1.30E+01	-3.68E-02	-1.22E+01
